N,DH39,DH68,DH95,DH99,RH95,RH99,DZ68,DZ95,DZ99,RZ95,RZ99,AREA,A_N_DH39,A_N_DH68,E39,E90,E95,
4,0.449211819077099,0.797960582093855,1.7052650737368,4.08924422028623,2.13702921172142,5.12461932587699,1.79354583329313,9.78790518445992,23.5961327742673,5.45729303526542,13.1561359270883,9.89517170747252,5.5069631336738,3.10014427075693,0.11,0.51,0.55,
5,0.260541591379314,0.477724462506664,1.22860572690717,1.91773487561534,2.57178734465588,4.01431165059627,1.46349413364866,5.14590522421427,6.28937514559559,3.51617755472988,4.29750622225964,14.5705020569428,11.1847801188334,6.09996062604375,0.3,0.7,0.76,
6,0.249654756084036,0.459324773205974,0.722977108061243,1.00779059876622,1.57399981502204,2.19406976839523,0.815555858520455,4.24304417825698,6.88961058113681,5.20264079269141,8.44774825557091,18.5632295988827,12.3926002786519,6.73569504692579,0.34,0.8,0.85,
7,0.220882333745561,0.342727386530844,0.922490465735129,1.21453731828998,2.69161584976551,3.54374166180233,1.1370877075845,4.661223868732,7.01116966695452,4.09926502383336,6.16590050194831,18.3416384285124,11.8625786715671,7.64524273282799,0.34,0.82,0.92,
8,0.1830853537784,0.348936841751511,0.694391280520468,0.818487397889717,1.99001996187885,2.34566058941001,0.903551420736845,3.81651589214376,6.52576454674293,4.22390558473296,7.22234993711943,20.842466659179,14.2300204720403,7.46641804665812,0.41,0.92,0.95,
9,0.166492665539545,0.325392260762423,0.585147611735813,0.989897271132982,1.79828374026094,3.04216599624578,1.00706168433057,3.05705989439609,4.1968143623864,3.03562328103886,4.16738560078986,21.699817675033,14.4816640719153,7.40979778416378,0.26,0.82,0.9,
10,0.163523749035783,0.259387329576314,0.581718730634762,0.816633326828722,2.24266440301825,3.14831618091223,0.633955043938954,2.8798385831843,5.602938572743,4.54265426344902,8.83806923899564,24.084139082491,14.728220961483,9.28500984293654,0.43,0.91,0.94,
11,0.131071534828671,0.240795294628314,0.567424062042737,0.734625448139366,2.3564582643469,3.05082974845217,0.468025483916056,2.65899175663464,4.39381878776327,5.68129695499989,9.38799048077334,25.1576389725863,17.4489303982474,9.49793513177733,0.43,0.88,0.93,
12,0.155664721434659,0.239402480689911,0.501437670234772,0.614882801886217,2.09453832220003,2.56840614230164,1.05596302142426,2.98765294628545,4.48261993676688,2.82931588101993,4.24505389471008,24.7530626579717,13.251269796307,8.61626502596458,0.33,0.88,0.95,
13,0.120097280055572,0.222950512608006,0.441436822162957,0.619229955271153,1.97997670872861,2.77743230113084,0.829470241001182,2.73026452531192,4.79089795018034,3.29157622582873,5.77585272305569,23.0983709735711,14.7946545198659,7.96947154959791,0.44,0.9,0.97,
14,0.0950470012748861,0.19796263107928,0.391616329836375,0.468544005198275,1.97823360753142,2.36683056112056,0.483564747322672,2.75218287384024,3.0605002762562,5.6914464693262,6.32903927178546,23.2039766119983,17.4379715154144,8.37242307712741,0.35,0.89,0.97,
15,0.0956477116381279,0.159376414905736,0.342484643366928,0.460484977008491,2.14890417487112,2.88929185212785,0.959623350270316,2.90058694919995,4.1809237730164,3.02263064814219,4.35683830727824,25.2498508572598,17.5992019218677,10.5619353495911,0.46,0.93,0.97,
16,0.103573630909041,0.194777507194195,0.398954780784095,0.607890720138104,2.04825899320261,3.12094927640711,0.940363013133778,2.59636848660635,2.93683069465913,2.76102786939046,3.12308188820835,24.0347863972047,14.5034420116498,7.71225677679309,0.33,0.84,0.93,
17,0.0772810789050551,0.141523887988044,0.336377699673221,0.537083677190294,2.3768263044161,3.7950036903711,0.833568723813173,2.63493406726603,4.60109961245693,3.16102798964491,5.51976037609609,24.8072196661864,18.8823478700499,10.3109675433825,0.45,0.89,0.93,
18,0.0787010170266352,0.151647549707962,0.26870628305773,0.462694132710511,1.77191312075398,3.05111512583983,0.487396979396038,2.01907932516677,2.74158221227605,4.14257660699648,5.62494707224757,24.4239019773836,17.240989944625,8.94761205044869,0.43,0.95,0.95,
19,0.075284812102971,0.145472148506093,0.291515991564963,0.42333959658673,2.00392992444704,2.91010754246885,0.54868700564213,1.63248296906477,2.65291919138018,2.97525356401373,4.83503192913318,25.134264040493,17.5713529087629,9.0935345062,0.41,0.88,0.94,
20,0.0635098945137992,0.111305715570738,0.234162772066199,0.32058756469301,2.10378030333386,2.88024350815361,0.564333360620559,1.68786433225796,2.54087419142545,2.99089944000817,4.50243485274631,25.6440600777131,20.1890274531485,11.5196510557518,0.47,0.94,0.98,
21,0.062227399692823,0.118246882081344,0.280999527291806,0.313194849415408,2.3763800139652,2.64865207354859,0.449580841619684,2.06330763212509,2.98475217989045,4.58940293072033,6.63896657414809,25.1675196900858,19.2592543556619,10.1351790210509,0.43,0.89,0.93,
